Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,12.3,10.75,90.0,top
C2,100n,C_0603_1608Metric,19.05,7.0,0.0,top
C3,100n,C_0603_1608Metric,12.3,8.1,180.0,top
C4,100n,C_0603_1608Metric,11.55,1.8,0.0,top
FB1,FerriteBead,L_0402_1005Metric,10.5,10.0,0.0,top
R1,10k,R_0402_1005Metric,7.112,8.636,180.0,top
R2,10k,R_0402_1005Metric,7.132,7.421,180.0,top
U1,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,11.55,4.1,90.0,top
U2,SHT45-AD1B-R2,SHT4X,19.125,3.325,0.0,top
