"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC","TYPE"
"C1","10u","~","Capacitor_SMD:C_0603_1608Metric","1","","C19702","0603"
"C2","100n","~","Capacitor_SMD:C_0603_1608Metric","1","","C14663","0603"
"FB1","FerriteBead","~","Inductor_SMD:L_0603_1608Metric","1","","C1002","0603"
"JA1","GND","~","FUEL4EP:edge_hole_Pitch2.28mm_Drill0.8mm","1","","",""
"JA2","Ant.","~","FUEL4EP:edge_hole_Pitch2.28mm_Drill0.8mm","1","","",""
"JC1,JC2,JC3,JC4,JC5,JC6,JC7,JC8","Conn_01x01_Pin","~","-- verschiedene Werte --","8","","",""
"LOGO1","Logo_Open_Hardware_Small","~","FUEL4EP:CC-BY-ND-SA_bottom","1","","",""
"Module1","E07-900MM10S","","FUEL4EP:eByte_E07-900MM10S","1","","C5844212","10x10mm"
