0,
1,
2,
4,
4,
10,
5,
4,
5,
3,
7,
4,
9,
4,
3,
15,
5,
3,
2,
6,
4,
5,
7,
0,
2,112
5,114
8,118
4,124
3,124
3,123
5,116
3,116
4,115
3,114
3,114
1,110
2,107
3,100
5,99
4,101
5,90
4,90
1,91
4,90
3,88
1,87
7,83
7,83
5,90
7,93
7,95
4,94
3,94
5,94
2,96
8,93
7,98
4,101
7,102
3,106
3,108
5,109
3,111
9,109
1,114
11,110
2,117
4,118
3,118
3,118
6,120
3,119
3,115
1,113
0,107
7,100
9,103
3,109
5,107
2,110
0,104
5,97
3,98
5,94
4,96
2,97
3,94
6,94
5,91
6,95
5,90
0,93
3,89
4,89
1,90
7,85
2,89
9,88
7,96
4,103
4,100
6,95
5,98
8,98
0,104
5,104
4,104
7,105
4,107
5,107
3,110
1,110
3,105
1,103
5,98
6,98
0,104
1,101
3,98
7,100
8,100
4,106
2,101
3,96
5,95
3,96
1,93
2,89
7,83
10,90
3,95
0,94
4,87
4,87
3,86
6,86
8,91
4,96
3,99
1,97
5,92
7,97
7,103
13,107
6,113
8,111
6,115
2,119
2,118
5,115
2,117
2,118
4,118
5,115
5,110
5,112
4,117
8,117
3,121
4,121
7,119
7,118
10,121
2,128
4,129
6,128
4,127
6,124
4,117
4,115
4,111
3,109
7,110
6,115
1,116
4,115
8,117
6,121
2,122
6,119
5,120
4,121
8,117
3,122
6,121
4,120
0,117
7,107
7,112
5,115
2,114
0,112
3,106
4,105
5,105
0,106
0,103
4,96
2,94
2,95
8,93
1,93
5,88
2,91
5,87
5,87
4,88
4,84
2,85
4,81
6,81
5,87
6,85
4,84
2,83
4,83
4,87
0,88
3,84
1,82
4,83
4,87
0,87
4,85
4,87
5,83
1,87
6,83
3,87
3,85
4,83
5,83
2,84
5,84
9,85
0,88
7,83
3,84
4,83
5,85
5,86
2,87
6,89
5,92
2,96
3,94
4,93
10,97
2,103
5,101
9,101
8,109
3,111
6,111
4,114
5,114
7,114
3,119
4,117
2,112
3,114
2,110
6,109
4,111
7,110
5,112
3,115
2,112
7,109
9,114
7,120
8,123
4,121
4,123
3,122
4,116
5,112
11,114
6,119
5,121
3,121
9,117
4,123
7,123
4,128
4,129
1,131
3,126
4,125
4,122
6,121
4,124
8,126
10,127
1,128
6,122
5,120
7,121
4,124
4,125
4,125
5,124
6,118
6,118
8,119
7,124
3,122
4,121
3,118
2,117
9,115
1,123
2,121
3,119
4,118
2,116
7,114
10,113
8,113
3,120
4,117
10,116
2,119
3,117
1,116
4,113
3,112
8,109
1,111
7,104
5,104
1,106
9,103
5,109
8,112
7,111
8,117
5,123
3,125
6,124
1,128
10,122
1,122
4,115
10,116
5,122
2,117
2,117
1,116
7,116
7,119
8,123
3,123
5,125
2,123
5,120
3,124
2,118
5,115
6,112
7,111
3,110
5,108
1,110
3,105
10,107
