"BKL 10120951";"2";""
"TASTER 3301";"1";""
"DEBO BME280";"1";""
"BKL 10120721";"1";""
"BKL 10120915";"1";""
"MPE 087-1-002";"4";""
"MPE 087-1-003";"1";""
"MPE 087-1-004";"2";""
"VIS PR0100010105";"2";""
"EVL 264-10SURD";"1";""
"KS-A 10U 16";"1";""
"BKL 10120911";"2";""
"BKL 10120732";"1";""
"IRLU 024N";"1";""
"VIS PR0100010473";"1";""
"VIS PR0100010106";"1";""
