1;
3;
2;
5;
0;
13;
6;
11;
9;
13;
13;
11;
6;
12;
10;
12;
9;
6;
10;
10;
9;
7;
11;
16;205
16;220
10;227
13;238
10;243
1;244
11;242
5;241
15;245
6;242
14;243
7;237
10;236
7;237
12;237
14;241
6;235
13;239
6;239
8;237
14;241
4;236
12;241
16;246
8;238
4;226
8;224
7;218
9;217
4;220
15;224
7;226
10;221
10;225
9;220
16;229
13;232
10;235
10;233
10;229
8;231
5;223
9;226
5;223
14;223
8;227
5;220
17;221
9;222
7;225
2;219
5;217
20;228
6;230
12;227
8;228
7;225
4;219
7;217
15;216
7;210
12;212
11;213
10;213
6;211
8;214
15;220
4;219
4;209
6;207
9;211
8;202
8;201
11;205
7;210
10;215
11;206
10;210
8;206
9;207
13;213
6;215
7;215
4;204
8;205
8;201
11;201
8;199
8;201
10;203
8;196
6;198
5;199
10;203
6;200
8;200
9;201
5;195
6;194
17;201
4;194
5;189
4;185
13;189
5;181
6;181
10;184
8;188
14;194
8;194
4;187
9;188
11;191
3;184
11;187
6;187
6;188
12;190
3;187
6;185
10;186
8;189
11;194
8;185
7;188
10;193
9;198
5;190
5;190
11;195
13;198
13;203
4;193
15;200
8;204
8;203
5;197
5;199
11;199
6;199
5;198
6;192
11;200
13;207
6;203
2;197
7;193
10;195
15;203
5;198
7;196
9;200
3;198
8;195
9;191
8;186
9;191
7;183
11;186
14;192
9;196
12;203
8;200
6;200
15;210
7;211
13;213
8;208
10;212
11;221
10;224
14;228
8;221
6;222
12;227
7;225
11;233
10;235
12;238
6;236
11;238
12;243
9;241
8;235
10;236
11;235
11;238
14;246
15;246
13;252
7;246
7;245
5;240
9;238
13;241
7;234
8;234
10;238
11;237
11;241
13;243
9;242
14;244
10;248
5;242
10;240
1;232
8;232
3;225
6;220
5;214
9;209
4;198
5;190
9;192
10;195
6;196
7;194
11;192
10;195
4;191
15;196
8;193
8;190
7;184
9;184
8;178
7;175
10;180
10;180
9;188
10;190
4;191
11;196
5;196
8;195
10;201
15;211
8;210
7;207
5;206
9;208
7;204
15;209
9;214
7;206
6;204
12;208
10;211
8;210
8;210
10;213
8;211
7;208
10;209
9;208
13;217
12;218
12;225
10;227
11;228
6;219
7;218
14;225
9;229
12;232
13;238
9;232
10;233
7;233
12;239
13;240
6;236
9;237
12;241
7;238
9;239
10;242
7;239
8;238
4;229
13;230
9;227
9;226
9;224
11;229
9;231
8;225
8;224
6;218
4;209
10;210
10;210
8;211
11;210
5;202
11;207
17;215
13;216
10;219
11;221
9;220
12;225
10;227
8;231
9;227
12;230
4;225
6;222
8;219
9;219
7;218
15;225
3;222
7;225
8;223
8;221
8;221
11;221
12;228
7;224
14;221
9;217
5;212
5;206
11;208
10;206
12;208
8;208
8;207
10;205
2;203
11;208
7;207
11;209
3;205
9;199
7;203
4;200
12;204
6;202
9;203
13;205
19;212
5;210
12;208
8;207
11;213
14;222
10;221
9;220
9;217
8;217
7;216
6;212
8;218
5;212
6;211
15;215
3;215
5;211
8;212
5;213
6;207
9;210
14;215
7;209
17;207
12;214
7;209
9;210
8;207
13;206
4;200
11;202
14;207
14;213
12;218
7;219
12;223
8;226
8;228
13;226
9;232
12;239
12;243
17;255
10;259
6;256
8;250
8;251
9;243
8;239
7;239
8;238
14;244
12;243
6;245
4;238
12;236
6;228
10;226
3;222
13;223
5;220
15;227
9;223
7;221
8;217
9;214
5;202
8;200
12;206
7;205
5;202
7;200
8;200
15;208
5;205
10;201
10;199
13;206
4;206
7;201
7;202
11;203
8;208
12;207
4;206
8;199
8;198
9;200
7;199
9;199
5;199
4;195
6;189
8;190
8;193
7;193
10;195
9;189
10;194
6;190
